weapon_type,concept,level,name,description
칼,그림자,0,+0강 그림자 흔적만 남은 칼,"그림자의 힘이 칼에 흔적만 남은 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,그림자,1,+1강 그림자 깃든 칼,"그림자의 힘이 칼에 깃든 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,그림자,2,+2강 그림자 뒤얽힌 칼,"그림자의 힘이 칼에 뒤얽힌 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,그림자,3,+3강 그림자 잠식된 칼,"그림자의 힘이 칼에 잠식 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,그림자,4,+4강 그림자 삼켜진 칼,"그림자의 힘이 칼에 삼켜진 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,그림자,5,+5강 그림자 숨 쉬는 칼,"그림자의 힘이 칼에 숨 쉬는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,그림자,6,+6강 그림자 속삭이는 칼,"그림자의 힘이 칼에 속삭이는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,그림자,7,+7강 그림자 의지를 가진 칼,"그림자의 힘이 칼에 의지를 가진 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,그림자,8,+8강 그림자 시험하는 칼,"그림자의 힘이 칼에 시험하는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,그림자,9,+9강 그림자 명령하는 칼,"그림자의 힘이 칼에 명령하는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,그림자,10,+10강 그림자 주인이 된 칼,"그림자의 힘이 칼에 주인이  단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,그림자,11,+11강 그림자 굴복시킨 칼,"그림자의 힘이 칼에 굴복시킨 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,그림자,12,+12강 그림자 피를 요구하는 칼,"그림자의 힘이 칼에 피를 요구하는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,그림자,13,+13강 그림자 전장을 뒤덮는 칼,"그림자의 힘이 칼에 전장을 뒤덮는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,그림자,14,+14강 그림자 영혼을 침식하는 칼,"그림자의 힘이 칼에 영혼을 침식하는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,그림자,15,+15강 그림자 재앙이 된 칼,"그림자의 힘이 칼에 재앙이  단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,그림자,16,+16강 그림자 세계에 뿌리내린 칼,"그림자의 힘이 칼에 세계에 뿌리내린 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,그림자,17,+17강 그림자 질서를 뒤흔드는 칼,"그림자의 힘이 칼에 질서를 뒤흔드는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,그림자,18,+18강 그림자 세계를 삼키는 칼,"그림자의 힘이 칼에 세계를 삼키는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,그림자,19,+19강 그림자 모든 것을 집어삼킨 칼,"그림자의 힘이 칼에 모든 것을 집어삼킨 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,그림자,20,+20강 그림자 그 자체가 된 칼,"그림자의 힘이 칼에 그 자체가  단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,피,0,+0강 피 흔적만 남은 칼,"피의 힘이 칼에 흔적만 남은 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,피,1,+1강 피 깃든 칼,"피의 힘이 칼에 깃든 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
